# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequestsMs,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1730542755898000000,1730542798046000000,41959424
FilePageCacheLockFree.totalPagesAllocated,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesRequested,1730542755898000000,1730542798046000000,0
FilePageCache.capacityInBytes,1730542755898000000,1730542798046000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1730542755898000000,1730542798046000000,0
FilePageCache.maxCacheSizeInBytes,1730542755898000000,1730542798046000000,170934272
DirectByteBufferAllocator.hits,1730542755898000000,1730542798046000000,5
DirectByteBufferAllocator.reclaimed,1730542755898000000,1730542798046000000,47
FilePageCache.pageLoadsAboveSizeThreshold,1730542755898000000,1730542798046000000,0
StorageLockContext.competingThreads.90P,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1730542755898000000,1730542798046000000,41959424
FilePageCache.totalPageDisposalsUs,1730542755898000000,1730542798046000000,14444
FilePageCacheLockFree.totalPagesHandedOver,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesWritten,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesWriteMs,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.misses,1730542755898000000,1730542798046000000,165
FilePageCache.maxRegisteredFiles,1730542755898000000,1730542798046000000,441
FilePageCacheLockFree.totalBytesRead,1730542755898000000,1730542798046000000,0
StorageLockContext.competingThreads.avg,1730542755898000000,1730542798046000000,0.0
FilePageCacheLockFree.nativeBytesInUse,1730542755898000000,1730542798046000000,0
